team,datetime,field
AFC Richmond,2022-09-12 18:30:00,1
Real Average,2022-09-15 21:00:00,D
AFC Richmond,2022-09-19 18:30:00,2
Real Average,2022-09-22 21:00:00,D
AFC Richmond,2022-09-26 18:30:00,2
Real Average,2022-09-29 21:00:00,D
AFC Richmond,2022-10-03 20:48:00,D
Real Average,2022-10-06 21:00:00,D
AFC Richmond,2022-10-10 20:48:00,D
Real Average,2022-10-13 21:00:00,D
AFC Richmond,2022-10-17 19:54:00,2
Real Average,2022-10-20 21:00:00,D
AFC Richmond,2022-10-24 18:30:00,1
Real Average,2022-10-27 21:00:00,D
